EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
X400x505A-1m1,2018,Pollen,400,,-1,FALSE,505,A,1,m1,R75H02,,130,177,307,42.34527687,3,0.968,0.973,0.981,0.977,,,,,,,,,,,,,,,,,
X400x508L-2m1,2018,Pollen,400,,-1,FALSE,508,L,2,m1,R121G01,,199,188,387,51.42118863,2,0.514,0.985,0.977,0.981,198,186,10,384,51.5625,1,1,2,2,3,3,-0.14131137,0.14131137,0.997259416,0.005037783,0.010695187,0.007782101
X400x508L-3m1,2018,Pollen,400,,-1,FALSE,508,L,3,m1,R121G01,,188,123,311,60.45016077,1,0.321,0.983,0.977,0.98,,,,,,,,,,,,,,,,,
X400x509L-1m1,2018,Pollen,400,,-1,FALSE,509,L,1,m1,R132G08,TRUE,127,207,334,38.0239521,2,0.595,0.968,0.97,0.97,120,201,20,321,37.38317757,7,7,6,6,13,13,0.640774526,0.640774526,1.017140719,0.056680162,0.029411765,0.039694656
X400x509L-2m1,2018,Pollen,400,,-1,FALSE,509,L,2,m1,R132G08,TRUE,159,144,303,52.47524752,0,0,0.993,0.991,0.992,163,146,2,309,52.75080906,-4,4,-2,2,-6,6,-0.275561537,0.275561537,0.994776165,-0.02484472,-0.013793103,-0.019607843
X400x511L-4m1,2018,Pollen,400,,-1,FALSE,511,L,4,m1,R174H06,,195,204,399,48.87218045,0,0,0.986,0.988,0.987,195,207,4,402,48.50746269,0,0,-3,3,-3,3,0.364717765,0.364717765,1.007518797,0,-0.01459854,-0.007490637
X400x514L-3m1,2018,Pollen,400,,-1,FALSE,514,L,3,m1,R01F02,,152,170,322,47.20496894,0,0,0.986,0.989,0.988,,,,,,,,,,,,,,,,,
X400x514L-5m1,2018,Pollen,400,,-1,FALSE,514,L,5,m1,R01F02,,130,142,272,47.79411765,0,0,0.991,0.992,0.992,,,,,,,,,,,,,,,,,
X400x515L-3m1,2018,Pollen,400,,-1,FALSE,515,L,3,m1,R02D11,,134,165,299,44.81605351,0,0,0.981,0.977,0.979,,,,,,,,,,,,,,,,,
X400x517L-1m1,2018,Pollen,400,,-1,FALSE,517,L,1,m1,R22A03,,0,347,347,0,0,0,nan,0.973,0.973,,,,,,,,,,,,,,,,,
X400x518L-2m1,2018,Pollen,400,,-1,FALSE,518,L,2,m1,R41A12,,182,191,373,48.79356568,0,0,0.988,0.98,0.984,,,,,,,,,,,,,,,,,
X400x519L-2m1,2018,Pollen,400,,-1,FALSE,519,L,2,m1,R98E11,,156,156,312,50,0,0,0.993,0.994,0.993,156,155,5,311,50.1607717,0,0,1,1,1,1,-0.160771704,0.160771704,0.996794872,0,0.006430868,0.003210273
X400x519L-3m1,2018,Pollen,400,,-1,FALSE,519,L,3,m1,R98E11,,191,168,359,53.20334262,1,0.278,0.985,0.99,0.987,195,171,15,366,53.27868852,-4,4,-3,3,-7,7,-0.075345906,0.075345906,0.998585815,-0.020725389,-0.017699115,-0.019310345
X400x520L-2m1,2018,Pollen,400,,-1,FALSE,520,L,2,m1,R45E04,TRUE,174,165,339,51.32743363,0,0,0.985,0.988,0.987,173,168,3,341,50.73313783,1,1,-3,3,-2,2,0.594295798,0.594295798,1.011714154,0.005763689,-0.018018018,-0.005882353
X400x521AL-9m2,2018,Pollen,400,,-1,FALSE,521,A,9,m2,R82B10,,144,176,320,45,1,0.312,0.976,0.982,0.979,,,,,,,,,,,,,,,,,
X400x522AL-2m1,2018,Pollen,400,,-1,FALSE,522,A,2,m1,R91F11,,178,182,360,49.44444444,1,0.277,0.983,0.985,0.984,184,189,3,373,49.32975871,-6,6,-7,7,-13,13,0.114685731,0.114685731,1.002324879,-0.033149171,-0.037735849,-0.035470668
X400x529A-1m2,2018,Pollen,400,,-1,FALSE,529,A,1,m2,R06C04,,134,169,303,44.22442244,1,0.329,0.978,0.981,0.979,135,171,8,306,44.11764706,-1,1,-2,2,-3,3,0.106775383,0.106775383,1.002420242,-0.007434944,-0.011764706,-0.009852217
X400x529A-6m1,2018,Pollen,400,,-1,FALSE,529,A,6,m1,R06C04,,168,183,351,47.86324786,5,1.404,0.957,0.97,0.964,175,189,16,364,48.07692308,-7,7,-6,6,-13,13,-0.213675214,0.213675214,0.995555556,-0.040816327,-0.032258065,-0.036363636
X400x532-1m1,2018,Pollen,400,,-1,FALSE,532,,1,m1,R11B05,,167,190,357,46.77871148,1,0.279,0.976,0.987,0.982,169,187,6,356,47.47191011,-2,2,3,3,1,1,-0.693198628,0.693198628,0.985397709,-0.011904762,0.015915119,0.002805049
X400x532-1m2,2018,Pollen,400,,-1,FALSE,532,,1,m2,R11B05,TRUE,131,117,248,52.82258065,0,0,0.984,0.982,0.983,130,115,1,245,53.06122449,1,1,2,2,3,3,-0.238643845,0.238643845,0.995502481,0.007662835,0.017241379,0.012170385
X400x532-4m1,2018,Pollen,400,,-1,FALSE,532,,4,m1,R11B05,TRUE,108,102,210,51.42857143,3,1.408,0.982,0.957,0.97,112,100,0,212,52.83018868,-4,4,2,2,-2,2,-1.401617251,1.401617251,0.973469388,-0.036363636,0.01980198,-0.009478673
X400x532-4m2,2018,Pollen,400,,-1,FALSE,532,,4,m2,R11B05,TRUE,149,148,297,50.16835017,2,0.669,0.968,0.964,0.966,149,140,2,289,51.55709343,0,0,8,8,8,8,-1.388743257,1.388743257,0.973063973,0,0.055555556,0.027303754
X400x532-4m3,2018,Pollen,400,,-1,FALSE,532,,4,m3,R11B05,,135,137,272,49.63235294,17,5.882,0.894,0.917,0.906,,,,,,,,,,,,,,,,,
X400x532-4m4,2018,Pollen,400,,-1,FALSE,532,,4,m4,R11B05,,153,137,290,52.75862069,1,0.344,0.986,0.978,0.982,153,137,0,290,52.75862069,0,0,0,0,0,0,0,0,1,0,0,0
X400x532-5m2,2018,Pollen,400,,-1,FALSE,532,,5,m2,R11B05,,199,164,363,54.82093664,1,0.275,0.982,0.976,0.979,198,163,3,361,54.84764543,1,1,1,1,2,2,-0.02670879,0.02670879,0.999513037,0.005037783,0.006116208,0.005524862
X400x533A-8m2,2018,Pollen,400,,-1,FALSE,533,A,8,m2,R11B05,TRUE,169,144,313,53.99361022,5,1.572,0.966,0.966,0.966,164,147,2,311,52.73311897,5,5,-3,3,2,2,1.260491253,1.260491253,1.023903218,0.03003003,-0.020618557,0.006410256
X400x533A-8m3,2018,Pollen,400,,-1,FALSE,533,A,8,m3,R11B05,,201,155,356,56.46067416,0,0,0.989,0.994,0.991,205,161,0,366,56.01092896,-4,4,-6,6,-10,10,0.449745196,0.449745196,1.008029597,-0.019704433,-0.037974684,-0.027700831
X400x534-1m2,2018,Pollen,400,,-1,FALSE,534,,1,m2,R53A01,,225,178,403,55.83126551,1,0.248,0.987,0.984,0.986,230,181,0,411,55.96107056,-5,5,-3,3,-8,8,-0.129805051,0.129805051,0.99768044,-0.021978022,-0.016713092,-0.01965602
X400x534-2m2,2018,Pollen,400,,-1,FALSE,534,,2,m2,R53A01,,184,140,324,56.79012346,2,0.613,0.981,0.982,0.982,186,140,0,326,57.05521472,-2,2,0,0,-2,2,-0.265091267,0.265091267,0.995353777,-0.010810811,0,-0.006153846
