EarName,Year,CrossType,EarFamily,EarSubFamily,EarPlantNumber,EarAllele,PollenFamily,PollenSubFamily,PollenPlantNumber,PollenPollinationNumber,PollenAllele,TrainingSet,PredictedFluor,PredictedNonFluor,PredictedTotal,PredictedTransmission,AmbiguousKernels,AmbiguousKernelPercentage,AverageEarScoreFluor,AverageEarScoreNonFluor,AverageEarScoreAll,ActualFluor,ActualNonFluor,ActualAmbiguous,ActualTotal,ActualTransmission,FluorKernelDiff,FluorKernelABSDiff,NonFluorKernelDiff,NonFluorKernelABSDiff,TotalKernelDiff,TotalKernelABSDiff,TransmissionDiff,TranmissionABSDiff,PredtoActTransmissionRatio,FluorPerDiff,NonFluorPerDiff,TotalPerDiff
Y1x237A-6,2019,Other,1,,-1,FALSE,237,A,6,,R84A12 R82C05,,119,169,288,41.31944444,0,0,0.992,0.982,0.986,,,,,,,,,,,,,,,,,
Y1x237B-1,2019,Other,1,,-1,FALSE,237,B,1,,R84A12 R82C05,,21,163,184,11.41304348,7,3.665,0.767,0.938,0.914,,,,,,,,,,,,,,,,,
Y1x237B-3,2019,Other,1,,-1,FALSE,237,B,3,,R84A12 R82C05,,109,231,340,32.05882353,107,23.937,0.69,0.82,0.77,,,,,,,,,,,,,,,,,
Y1x268-2m1,2019,Pollen,1,,-1,FALSE,268,,2,m1,R96C12,,103,121,224,45.98214286,2,0.885,0.979,0.97,0.974,,,,,,,,,,,,,,,,,
Y1x268-2m2,2019,Pollen,1,,-1,FALSE,268,,2,m2,R96C12,,102,90,192,53.125,0,0,0.983,0.988,0.985,,,,,,,,,,,,,,,,,
Y1x270-5m2,2019,Pollen,1,,-1,FALSE,270,,5,m2,R102H01,,143,148,291,49.14089347,3,1.02,0.974,0.974,0.974,,,,,,,,,,,,,,,,,
Y1x270-5m3,2019,Pollen,1,,-1,FALSE,270,,5,m3,R102H01,,19,17,36,52.77777778,3,7.692,0.708,0.801,0.752,11,11,0,22,50,8,8,6,6,14,14,2.777777778,2.777777778,1.055555556,0.533333333,0.428571429,0.482758621
Y1x270-5m4,2019,Pollen,1,,-1,FALSE,270,,5,m4,R102H01,,2,2,4,50,0,0,0.999,0.954,0.976,2,0,0,2,100,0,0,2,2,2,2,-50,50,0.5,0,2,0.666666667
Y1x274-1m1,2019,Pollen,1,,-1,FALSE,274,,1,m1,R04A02,,174,212,386,45.07772021,0,0,0.991,0.991,0.991,,,,,,,,,,,,,,,,,
Y1x276-3,2019,Pollen,1,,-1,FALSE,276,,3,,R92A10,,147,155,302,48.67549669,3,0.984,0.981,0.981,0.981,,,,,,,,,,,,,,,,,
Y1x283A-4,2019,Pollen,1,,-1,FALSE,283,A,4,,R174H06,,304,1,305,99.67213115,3,0.974,0.984,0.684,0.98,,,,,,,,,,,,,,,,,
Y1x284A-1,2019,Pollen,1,,-1,FALSE,284,A,1,,R84A12,,117,6,123,95.12195122,10,7.519,0.909,0.561,0.87,107,0,2,107,100,10,10,6,6,16,16,-4.87804878,4.87804878,0.951219512,0.089285714,2,0.139130435
Y1x284A-2,2019,Pollen,1,,-1,FALSE,284,A,2,,R84A12,,194,8,202,96.03960396,16,7.339,0.931,0.625,0.9,208,0,0,208,100,-14,14,8,8,-6,6,-3.96039604,3.96039604,0.96039604,-0.069651741,2,-0.029268293
Y1x284A-3,2019,Pollen,1,,-1,FALSE,284,A,3,,R84A12,,132,25,157,84.07643312,14,8.187,0.912,0.653,0.857,152,0,0,152,100,-20,20,25,25,5,5,-15.92356688,15.92356688,0.840764331,-0.14084507,2,0.03236246
Y1x284A-4,2019,Pollen,1,,-1,FALSE,284,A,4,,R84A12,,29,14,43,67.44186047,13,23.214,0.878,0.693,0.805,41,0,0,41,100,-12,12,14,14,2,2,-32.55813953,32.55813953,0.674418605,-0.342857143,2,0.047619048
